category,train,val,test,total,styles
apple,800,150,150,1100,3
baseball,800,150,150,1100,3
book,800,150,150,1100,3
bowtie,800,150,150,1100,3
diamond,800,150,150,1100,3
dog,800,150,150,1100,3
door,800,150,150,1100,3
envelope,800,150,150,1100,3
eye,800,150,150,1100,3
fish,800,150,150,1100,3
hat,800,150,150,1100,3
leaf,800,150,150,1100,3
lightning,800,150,150,1100,3
moon,800,150,150,1100,3
pants,800,150,150,1100,3
scissors,800,150,150,1100,3
square,800,150,150,1100,3
star,800,150,150,1100,3
t-shirt,800,150,150,1100,3
